Linhas de fornecimento,Lista de municipios
Linha de Fornecimento 2398: Consultoria e Assessoria - Marketing,Município 41254: Belo Oriente
Linha de Fornecimento 2399: Classificação e Degustação - Café,Município 41270: Belo Vale
Linha de Fornecimento 2400: Locação de Artigos de Tecido,Município 41297: Berilo
Linha de Fornecimento 2401: Higienização de Artigos de Tecido,Município 41319: Bertópolis
Linha de Fornecimento 2402: Obras Civis - Concretagem,Município 41335: Betim
Linha de Fornecimento 2403: Higienização de Equipamentos,Município 41351: Bias Fortes
"Linha de Fornecimento 2404: Armazenamento / Guarda / Conservação / 
Distribuição - Merca-doria , Bens , Alimento , Objetos",Município 41378: Bicas
"Linha de Fornecimento 2405: Desenvolvimento, Construção, Instalação - 
Sistema AutomáticoAquisição Dados Conjunto Híbrido ( Eólico, Solar, Diesel )",Município 41394: Biquinhas
Linha de Fornecimento 2406: Metrologia,Município 41416: Boa Esperança
"Linha de Fornecimento 2407: Sistemas Educacionais - Automação Industrial / 
Controle Processo / Física / Química / Mecânica",Município 41432: Bocaina de Minas
Linha de Fornecimento 2408: Serviço Segurança Nacional / Trabalho,Município 41459: Bocaiúva
Linha de Fornecimento 2409: Administração Portuária / Embarcação,Município 41475: Bom Despacho
"Linha de Fornecimento 2410: Modernização / Agilização / Aprimoramento - 
Processos Admi-nistrativos",Município 41491: Bom Jardim de Minas
Linha de Fornecimento 2411: Auditoria - Atuarial,Município 41513: Bom Jesus da Penha
Linha de Fornecimento 2412: Manutenção Aparelho Telefônico / Celular,Município 41530: Bom Jesus do Amparo
Linha de Fornecimento 2413: Treinamento Informática - Operação / Digitação,Município 41556: Bom Jesus do Galho
Linha de Fornecimento 2414: Execução Serviço - Geodésico / Cartográfico,Município 41572: Bom Repouso
"Linha de Fornecimento 2415: Banco Dados Informações - Comerciais / 
Cadastrais / Técnicas",Município 41599: Bom Sucesso
Linha de Fornecimento 2416: Administração Pública,Município 41610: Bonfim
Linha de Fornecimento 2417: Fornecimento / Transporte de Água - Carro Pipa,Município 41637: Bonfinópolis de Minas
"Linha de Fornecimento 2418: Instalação e Montagem - Móveis / Artefatos 
Metálicos",Município 41653: Borda da Mata
Linha de Fornecimento 2419: Informática - Computação Gráfica,Município 41670: Botelhos
Linha de Fornecimento 2420: Floricultura,Município 41696: Botumirim
Linha de Fornecimento 2421: Engenharia Eletrônica - Processamento de Sinais,Município 41718: Brasília de Minas
"Linha de Fornecimento 2422: Engenharia Eletrônica - Desenvolvimento de 
Sistemas Residen-tes ( Firmware )",Município 41734: Brás Pires
Linha de Fornecimento 2423: Gráfico - Policromia,Município 41750: Braúnas
Linha de Fornecimento 2424: Curso Teatro / Teledramaturgia / Cinema,Município 41777: Brasópolis
Linha de Fornecimento 2425: Despachante - Marítimo,Município 41793: Brumadinho
Linha de Fornecimento 2426: Gráfico - Confecção Documentos Oficiais,Município 41815: Bueno Brandão
Linha de Fornecimento 2427: Concessão de Serviço Público,Município 41831: Buenópolis
"Linha de Fornecimento 2428: Adaptação e Transformação Veículos - 
Automotores / Rebocá-veis / Especiais",Município 41858: Buritis
Linha de Fornecimento 2429: Manutenção Sinalizador Acústico / Visual,Município 41874: Buritizeiro
"Linha de Fornecimento 2430: Condomínio - Gerência / Manutenção de Imóvel / 
Administração",Município 41890: Cabo Verde
"Linha de Fornecimento 2431: Avaliação / Comercialização / Divulgação - Obra 
de Arte",Município 41912: Cachoeira da Prata
Linha de Fornecimento 2432: Manutenção Veículos Rebocáveis,Município 41939: Cachoeira de Minas
Linha de Fornecimento 2433: Fabricação de Maca - Hospitalar / Ambulância,Município 41955: Cachoeira Dourada
Linha de Fornecimento 2434: Pesquisa Marítima,Município 41971: Caetanópolis
Linha de Fornecimento 2435: Consulta Médica - Homeopatia,Município 41998: Caeté
Linha de Fornecimento 2436: Decoração - Ambiente,Município 42013: Caiana
Linha de Fornecimento 2437: Solda - Exotérmica,Município 42030: Cajuri
Linha de Fornecimento 2438: Atividade Cultural Desportiva,Município 42056: Caldas
Linha de Fornecimento 2439: Manutenção de Equipamento Oceanográfico,Município 42072: Camacho
Linha de Fornecimento 2440: Manutenção Equipamento Navegação,Município 42099: Camanducaia
"Linha de Fornecimento 2441: Assistência Técnica / Manutenção - Equipamento 
Fluxo Laminar",Município 42110: Cambui
Linha de Fornecimento 2442: Fabricação de Calçado / Luva / Cinto,Município 42137: Cambuquira
Linha de Fornecimento 2443: Avaliação de Máquinas / Equipamentos / Veículos,Município 42153: Campanário
Linha de Fornecimento 2444: Consultoria e Assessoria - Imobiliária,Município 42170: Campanha
"Linha de Fornecimento 2445: Reforma e Reparo - Artigo de Couro / Tecido / 
Material Sintético",Município 42196: Campestre
Linha de Fornecimento 2446: Administração de Terminal Rodoviário,Município 42218: Campina Verde
Linha de Fornecimento 2447: Direitos Autorais,Município 42234: Campo Belo
Linha de Fornecimento 2448: Manutenção Relógio Datador / Numerador,Município 42250: Campo do Meio
Linha de Fornecimento 2449: Locação Guarita / Cabine Sanitária,Município 42277: Campo Florido
Linha de Fornecimento 2450: Consultoria e Assessoria - Negócios,Município 42293: Campos Altos
Linha de Fornecimento 2451: Instalação e Montagem - Painel / Placa Luminosa,Município 42315: Campos Gerais
Linha de Fornecimento 2452: Fiscalização / Medição de Mídia,Município 42331: Canaã
"Linha de Fornecimento 2453: Instalação / Manutenção - Cabo Óptico / 
Acessório",Município 42358: Canápolis
"Linha de Fornecimento 2454: Curso Aperfeiçoamento / Especialização 
Profissional",Município 42374: Cana Verde
Linha de Fornecimento 2455: Padronização de Grãos,Município 42390: Candeias
Linha de Fornecimento 2456: Consultoria e Assessoria - Internacional,Município 42412: Caparaó
Linha de Fornecimento 2457: Moderador Planejamento Participativo,Município 42439: Capela Nova
Linha de Fornecimento 2458: Consultoria e Assessoria - Turismo,Município 42455: Capelinha
Linha de Fornecimento 2459: Curso / Aperfeiçoamento - Pilotagem de Aeronave,Município 42471: Capetinga
Linha de Fornecimento 2460: Beneficiamento de Borracha,Município 42498: Capim Branco
Linha de Fornecimento 2461: Engenharia de Trânsito,Município 42510: Capinópolis
"Linha de Fornecimento 2462: Locação / Instalação / Manutenção / Operação - 
EquipamentoEletrônico de Controle de Velocidade",Município 42536: Capitão Enéas
Linha de Fornecimento 2463: Inventário / Catalogação - Acervo Museológico,Município 42552: Capitólio
Linha de Fornecimento 2464: Confecção de Botom / Medalha,Município 42579: Caputira
Linha de Fornecimento 2465: Comissaria Aérea,Município 42595: Carai
"Linha de Fornecimento 2466: Industrialização / Restauração Peças - Metais 
Preciosos",Município 42617: Caranaíba
Linha de Fornecimento 2467: Locação de Computador - Médio / Grande Porte,Município 42633: Carandaí
"Linha de Fornecimento 2468: Instalação / Manutenção - 
Cobertura/Passarela/Toldo/Barraca",Município 42650: Carangola
Linha de Fornecimento 2469: Curso / Aperfeiçoamento - Controlador de Vôo,Município 42676: Caratinga
Linha de Fornecimento 2470: Consultoria e Assessoria - Segurança do Trabalho,Município 42692: Carbonita
Linha de Fornecimento 2471: Fabricação / Reparo - Placa Veículo,Município 42714: Careaçu
"Linha de Fornecimento 2472: Estudos e Projetos de Saneamento - Gerência de 
Bacias",Município 42730: Carlos Chagas
Linha de Fornecimento 2473: Estudos e Projetos - Saúde,Município 42757: Carmésia
Linha de Fornecimento 2474: Consultoria e Assessoria - Pesquisa Histórica,Município 42773: Carmo da Cachoeira
Linha de Fornecimento 2475: Locação de Roupa / Uniforme,Município 42790: Carmo da Mata
"Linha de Fornecimento 2476: Estudos e Projetos Viabilidade Técnica - 
Radiodifusão",Município 42811: Carmo de Minas
Linha de Fornecimento 2477: Radiologia Odontológica,Município 42838: Carmo do Cajuru
Linha de Fornecimento 2478: Confecção de Faixas,Município 42854: Carmo do Paranaíba
Linha de Fornecimento 2479: Sinalização Visual Computadorizada,Município 42870: Carmo do Rio Claro
Linha de Fornecimento 2480: Afiação de Ferramenta,Município 42897: Carmópolis de Minas
"Linha de Fornecimento 2481: Manutenção e Reparo - Máquina / Equipamento 
Fotográfico",Município 42919: Carrancas
Linha de Fornecimento 2482: Monitorização de Imagem,Município 42935: Carvalhópolis
"Linha de Fornecimento 2483: Automatização de Portão - Instalação / 
Manutenção",Município 42951: Carvalhos
Linha de Fornecimento 2484: Manutenção e Reparo - Tacógrafo,Município 42978: Casa Grande
Linha de Fornecimento 2485: Manutenção e Reparo - Rodoar,Município 42994: Cascalho Rico
Linha de Fornecimento 2486: Prestação de Serviço Gráfico / Reprografia,Município 43010: Cássia
Linha de Fornecimento 2487: Locação Equipamentos de Impressão,Município 43036: Conceição da Barra de Minas
Linha de Fornecimento 2488: Praticagem - Fluvial / Marítima,Município 43052: Cataguases
Linha de Fornecimento 2489: Hialotecnia,Município 43079: Catas Altas da Noruega
Linha de Fornecimento 2490: Consultoria e Assessoria - Esportiva,Município 43095: Caxambú
Linha de Fornecimento 2491: Treinamento - Área Esportiva,Município 43117: Cedro do Abaeté
"Linha de Fornecimento 2492: Estudos e Projetos de Sistemas Automatizados - 
Armazenamento/ Movimentação / Distribuição",Município 43133: Central de Minas
Linha de Fornecimento 2493: Estudos e Projetos - Sistema de Propulsão,Município 43150: Centralina
Linha de Fornecimento 2494: Manutenção e Reparo - Hélice,Município 43176: Chácara
Linha de Fornecimento 2495: Ar Respirável - Teste Hidrostático Cilindro,Município 43192: Chalé
Linha de Fornecimento 2496: Ar Respirável - Manutenção Equipamento Autônomo,Município 43214: Chapada do Norte
Linha de Fornecimento 2497: Ar Respirável - Manutenção Sistema de Linha,Município 43230: Chiador
Linha de Fornecimento 2498: Consultoria e Assessoria - Telecomunicação,Município 43257: Cipotânea
Linha de Fornecimento 2499: Teleconferência / Videoconferência,Município 43273: Claraval
"Linha de Fornecimento 2500: Limpeza de Estofados - Bancos / Cadeira / 
Poltrona",Município 43290: Claro dos Poções
Linha de Fornecimento 2501: Telefonia - Convencional / Celular,Município 43311: Cláudio
Linha de Fornecimento 2502: Operador Portuário,Município 43338: Coimbra
Linha de Fornecimento 2503: Confecção de Balcão / Guichê,Município 43354: Coluna
"Linha de Fornecimento 2504: Manutenção Freio e Embreagem - Eletromagnética 
/ Mecânica /Pneumática",Município 43370: Comendador Gomes
Linha de Fornecimento 2505: Diagnóstico Participativo - Rural / Urbano,Município 43397: Comercinho
Linha de Fornecimento 2506: Instalação / Remoção / Manutenção - Forro,Município 43419: Conceição da Aparecida
Linha de Fornecimento 2507: Treinamento / Curso - Armamento e Tiro,Município 43435: Conceição das Pedras
Linha de Fornecimento 2508: Manutenção de Veículos Leves - Suspensão,Município 43451: Conceição das Alagoas
Linha de Fornecimento 2509: Manutenção de Veículos Pesados - Suspensão,Município 43478: Conceição de Ipanema
Linha de Fornecimento 2510: Locação de Equipamento - Condicionamento Físico,Município 43494: Conceição do Mato Dentro
Linha de Fornecimento 2511: Locação de Equipamento - Esporte / Lazer,Município 43516: Conceição do Pará
Linha de Fornecimento 2512: Consultoria e Assessoria - Transporte,Município 43532: Conceição do Rio Verde
Linha de Fornecimento 2513: Radiologia Geral,Município 43559: Conceição dos Ouros
"Linha de Fornecimento 2514: Trânsito - Supervisão e Controle /Aprendizagem 
/ Habilitação/ Fiscalização / Condutores de Veículos",Município 43575: Congonhal
Linha de Fornecimento 2515: Trânsito - Registro / Emplacamento de Veículos,Município 43591: Congonhas
"Linha de Fornecimento 2516: Trânsito - Policiamento / Segurança / Campanhas 
/ Análise /Relatório",Município 43613: Conconhas do Norte
Linha de Fornecimento 2517: Frigoconservação - Congelamento / Recuperação,Município 43630: Conquista
Linha de Fornecimento 2518: Transporte / Entrega - Carga Frigorífica,Município 43656: Conselheiro Lafaiete
Linha de Fornecimento 2519: Beneficiamento Produto Frigorificado,Município 43672: Conselheiro Pena
Linha de Fornecimento 2520: Limpeza Superfície / Remoção Pichação,Município 43699: Consolação
Linha de Fornecimento 2521: Artes Plásticas - Confecção de Objetos,Município 43710: Contagem
Linha de Fornecimento 2522: Operação de Caldeira / Unidades Industriais,Município 43737: Coqueiral
Linha de Fornecimento 2523: Enfermagem,Município 43753: Coração de Jesus
Linha de Fornecimento 2524: Administração / Operação - Pedágio,Município 43770: Cordisburgo
"Linha de Fornecimento 2525: Manutenção / Conservação / Recuperação - Vias 
Públicas",Município 43796: Cordislândia
Linha de Fornecimento 2526: Informações e Avaliações Educacionais,Município 43818: Corinto
Linha de Fornecimento 2527: TESTE,Município 43834: Coroaci
Linha de Fornecimento 2528: Instalação / Manutenção - Porta / Cancela,Município 43850: Coromandel
"Linha de Fornecimento 2529: Consultoria e Assessoria - Energia Renovável / 
ConservaçãoEnergia",Município 43877: Coronel Fabriciano
Linha de Fornecimento 2530: Gráfico - Impressos / Plastificação / Acabamento,Município 43893: Coronel Murta
Linha de Fornecimento 2531: Obras Civis - Cálculo Estrutural,Município 43915: Coronel Pacheco
"Linha de Fornecimento 2532: Planejamento / Organização / Execução / 
Arbitragem / Atividades Lúdicas / Desportivas / Recreativas / Colônia de 
Férias",Município 43931: Coronel Xavier Chaves
Linha de Fornecimento 2533: Transporte Rodoviário - Carga Viva,Município 43958: Córrego Danta
Linha de Fornecimento 2534: Informática - Customização de Ambiente,Município 43974: Córrego do Bom Jesus
Linha de Fornecimento 2535: Higienização Equipamento Proteção Individual,Município 43990: Córrego Novo
Linha de Fornecimento 2536: Consultoria e Assessoria - Educação,Município 44016: Couto de Magalhães de Minas
Linha de Fornecimento 2537: Estudo e Projetos - Automação Industrial,Município 44032: Cristais
Linha de Fornecimento 2538: Treinamento - Área Instrumentação Eletrônica,Município 44059: Cristália
Linha de Fornecimento 2539: Consultoria e Assessoria - Recursos Hídricos,Município 44075: Cristiano Otoni
